species,fishing_mortality,group,juv_group
arrowtooth flounder,923.298174,Arrowtooth flounder,Juvenile flatfish
black rockfish,781.0981098,Black rockfish,Juvenile rockfish
canary rockfish,556.7294014,Canary rockfish,Juvenile rockfish
Pacific spiny dogfish,1360.509829,dogfish,NA
Dover sole,5714.55349,flatfish,Juvenile flatfish
rex sole,474.6181643,flatfish,Juvenile flatfish
English sole,241.7797764,flatfish,Juvenile flatfish
Pacific sanddab,142.1794831,flatfish,Juvenile flatfish
sand sole,31.06434046,flatfish,Juvenile flatfish
flathead sole,20.93896133,flatfish,Juvenile flatfish
starry flounder,10.1870064,flatfish,Juvenile flatfish
rock sole,3.489238344,flatfish,Juvenile flatfish
curlfin sole,2.562597294,flatfish,Juvenile flatfish
greenstriped rockfish,44.96960127,Greenstriped rockfish,Juvenile rockfish
lingcod,1328.357566,Lingcod,Juvenile roundfish
cabezon,93.13982528,Lingcod,Juvenile roundfish
longspine thornyhead,277.5707082,Longspine thornyhead,Juvenile thornyhead
California scorpionfish,100.0632363,NA,NA
Pacific cod,54.16509126,NA,NA
blue rockfish,407.477607,nearshore rockfish,Juvenile rockfish
copper rockfish,169.8365891,nearshore rockfish,Juvenile rockfish
brown rockfish,95.01180117,nearshore rockfish,Juvenile rockfish
olive rockfish,50.13624728,nearshore rockfish,Juvenile rockfish
redstripe rockfish,42.22175928,nearshore rockfish,Juvenile rockfish
kelp greenling,37.95947639,nearshore rockfish,Juvenile rockfish
quillback rockfish,27.00616019,nearshore rockfish,Juvenile rockfish
greenspotted rockfish,17.939762,nearshore rockfish,Juvenile rockfish
rosy rockfish,12.54300124,nearshore rockfish,Juvenile rockfish
grass rockfish,11.42935103,nearshore rockfish,Juvenile rockfish
treefish,11.06248663,nearshore rockfish,Juvenile rockfish
cowcod,4.999794558,nearshore rockfish,Juvenile rockfish
kelp rockfish,4.41017515,nearshore rockfish,Juvenile rockfish
Pacific ocean perch,434.8686401,Pacific Ocean Perch,Juvenile rockfish
petrale sole,2567.236151,Petrale sole,Juvenile flatfish
sablefish,5065.048359,Sablefish,Juvenile roundfish
leopard shark,19.86761801,sharks,NA
chilipepper,606.9193554,shelf rockfish,Juvenile rockfish
bocaccio,485.5229113,shelf rockfish,Juvenile rockfish
vermilion rockfish,386.0921205,shelf rockfish,Juvenile rockfish
gopher rockfish,88.82178852,shelf rockfish,Juvenile rockfish
stripetail rockfish,79.09945417,shelf rockfish,Juvenile rockfish
silvergray rockfish,71.23364943,shelf rockfish,Juvenile rockfish
starry rockfish,36.34644618,shelf rockfish,Juvenile rockfish
China rockfish,24.81572373,shelf rockfish,Juvenile rockfish
rosethorn rockfish,21.40609152,shelf rockfish,Juvenile rockfish
squarespot rockfish,16.40127048,shelf rockfish,Juvenile rockfish
flag rockfish,8.414673199,shelf rockfish,Juvenile rockfish
speckled rockfish,8.001616705,shelf rockfish,Juvenile rockfish
honeycomb rockfish,3.26121701,shelf rockfish,Juvenile rockfish
shortspine thornyhead,709.7312722,Shortspine thornyhead,Juvenile thornyhead
longnose skate,681.2789128,Skates,NA
big skate,178.7221285,Skates,NA
rougheye rockfish,384.4442858,slope rockfish,Juvenile rockfish
darkblotched rockfish,367.3786256,slope rockfish,Juvenile rockfish
redbanded rockfish,46.49194696,slope rockfish,Juvenile rockfish
blackgill rockfish,44.78066376,slope rockfish,Juvenile rockfish
aurora rockfish,38.21766604,slope rockfish,Juvenile rockfish
bank rockfish,32.59833995,slope rockfish,Juvenile rockfish
sharpchin rockfish,25.35228856,slope rockfish,Juvenile rockfish
yellowmouth rockfish,24.12870574,slope rockfish,Juvenile rockfish
shortraker rockfish,10.73348073,slope rockfish,Juvenile rockfish
splitnose rockfish,202.7907093,Splitnose rockfish,Juvenile rockfish
widow rockfish,9523.287411,Widow rockfish,Juvenile rockfish
yelloweye rockfish,22.14647272,Yelloweye rockfish,Juvenile rockfish
yellowtail rockfish,3714.042406,Yellowtail rockfish,Juvenile rockfish
